date,value
2000-01-01,5.02380952380952
2000-02-01,5.25
2000-03-01,5.3695652173913
2000-04-01,5.5
2000-05-01,5.5
2000-06-01,5.5
2000-07-01,5.5
2000-08-01,5.43181818181818
2000-09-01,5.0
2000-10-01,5.0
2000-11-01,5.0
2000-12-01,5.0
2001-01-01,4.89772727272727
2001-02-01,4.675
2001-03-01,4.05
2001-04-01,3.84
2001-05-01,3.75
2001-06-01,3.59
2001-07-01,3.5
2001-08-01,6.5
2001-09-01,6.5
2001-10-01,6.5
2001-11-01,6.5
2001-12-01,6.5
2002-01-01,6.16
2002-02-01,5.83
2002-03-01,5.05
2002-04-01,4.75
2002-05-01,4.23
2002-06-01,4.0
2002-07-01,3.54
2002-08-01,3.07
2002-09-01,3.0
2002-10-01,3.0
2002-11-01,3.0
2002-12-01,3.0
2003-01-01,2.82
2003-02-01,2.75
2003-03-01,2.75
2003-04-01,2.75
2003-05-01,2.75
2003-06-01,2.75
2003-07-01,2.75
2003-08-01,2.75
2003-09-01,2.75
2003-10-01,2.75
2003-11-01,2.75
2003-12-01,2.45
2004-01-01,1.87
2004-02-01,1.75
2004-03-01,1.75
2004-04-01,1.75
2004-05-01,1.75
2004-06-01,1.75
2004-07-01,1.75
2004-08-01,1.75
2004-09-01,1.94
2004-10-01,2.0
2004-11-01,2.15
2004-12-01,2.25
2005-01-01,2.42
2005-02-01,2.65
2005-03-01,2.75
2005-04-01,2.94
2005-05-01,3.14
2005-06-01,3.25
2005-07-01,3.4
2005-08-01,3.65
2005-09-01,3.93
2005-10-01,4.18
2005-11-01,4.42
2005-12-01,4.5
2006-01-01,4.5
2006-02-01,4.66
2006-03-01,4.75
2006-04-01,4.88
2006-05-01,5.0
2006-06-01,5.0
2006-07-01,5.14
2006-08-01,5.25
2006-09-01,5.25
2006-10-01,5.25
2006-11-01,5.25
2006-12-01,5.25
2007-01-01,5.09
2007-02-01,5.0
2007-03-01,5.0
2007-04-01,5.0
2007-05-01,5.0
2007-06-01,5.0
2007-07-01,5.15
2007-08-01,5.42
2007-09-01,5.62
2007-10-01,5.75
2007-11-01,5.75
2007-12-01,5.88
2008-01-01,6.17
2008-02-01,6.25
2008-03-01,6.25
2008-04-01,6.25
2008-05-01,6.25
2008-06-01,6.58
2008-07-01,7.07
2008-08-01,7.5
2008-09-01,8.15
2008-10-01,8.25
2008-11-01,8.25
2008-12-01,8.25
2009-01-01,7.49
2009-02-01,5.88
2009-03-01,3.27
2009-04-01,1.92
2009-05-01,1.36
2009-06-01,1.04
2009-07-01,0.58
2009-08-01,0.5
2009-09-01,0.5
2009-10-01,0.5
2009-11-01,0.5
2009-12-01,0.5
2010-01-01,0.5
2010-02-01,0.5
2010-03-01,0.5
2010-04-01,0.5
2010-05-01,0.5
2010-06-01,0.74
2010-07-01,1.24
2010-08-01,1.8
2010-09-01,2.2
2010-10-01,2.64
2010-11-01,2.87
2010-12-01,3.12
2011-01-01,3.25
2011-02-01,3.34
2011-03-01,3.72
2011-04-01,4.3
2011-05-01,4.8
2011-06-01,5.13
2011-07-01,5.25
2011-08-01,5.25
2011-09-01,5.25
2011-10-01,5.25
2011-11-01,5.25
2011-12-01,5.25
2012-01-01,5.1
2012-02-01,5.0
2012-03-01,5.0
2012-04-01,5.0
2012-05-01,5.0
2012-06-01,5.0
2012-07-01,5.0
2012-08-01,5.0
2012-09-01,5.0
2012-10-01,5.0
2012-11-01,5.0
2012-12-01,5.0
2013-01-01,5.0
2013-02-01,5.0
2013-03-01,5.0
2013-04-01,5.0
2013-05-01,5.0
2013-06-01,5.0
2013-07-01,5.0
2013-08-01,5.0
2013-09-01,5.0
2013-10-01,4.9
2013-11-01,4.65
2013-12-01,4.5
2014-01-01,4.5
2014-02-01,4.4
2014-03-01,4.11
2014-04-01,4.0
2014-05-01,4.0
2014-06-01,4.0
2014-07-01,3.88
2014-08-01,3.63
2014-09-01,3.36
2014-10-01,3.14
2014-11-01,3.0
2014-12-01,3.0
2015-01-01,3.0
2015-02-01,3.0
2015-03-01,3.0
2015-04-01,3.0
2015-05-01,3.0
2015-06-01,3.0
2015-07-01,3.0
2015-08-01,3.0
2015-09-01,3.0
2015-10-01,3.13
2015-11-01,3.25
2015-12-01,3.35
2016-01-01,3.5
2016-02-01,3.5
2016-03-01,3.5
2016-04-01,3.5
2016-05-01,3.5
2016-06-01,3.5
2016-07-01,3.5
